DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-10-17 02:07:23,3000,68,0,3717.044,438.593,34,5,170,0,0,374.338,8025.088
2025-10-17 02:07:25,3000,264,0,4933.481,545.797,132,5,660,0,0,417.754,3468.186
2025-10-17 02:07:27,3000,250,0,6238.556,516.727,125,5,625,0,0,502.596,9028.508
2025-10-17 02:07:29,3000,275,0,8130.065,691.018,137.5,5,687.5,0,0,681.6,5575.571
2025-10-17 02:07:32,3000,174,0,9158.805,796.355,87,5,435,0,0,859.822,10762.989
2025-10-17 02:07:34,3000,414,0,11262.068,967.81,207,5,1035,0,0,815.147,16996.563
2025-10-17 02:07:36,3000,481,0,12403.397,1278.782,240.5,5,1202.5,0,0,540.555,23655.742
2025-10-17 02:07:38,3000,1523,0,12967.932,2002.666,761.5,5,3807.5,0,0,357.397,5572.397
2025-10-17 02:07:40,3000,350,0,12154.014,2819.428,175,5,875,0,0,150.383,7461.931
2025-10-17 02:07:42,3000,483,0,7984.458,2995.597,241.5,5,1207.5,0,0,14.511,8689.329
2025-10-17 02:07:44,3000,826,0,7407.832,1735.915,413,5,2065,0,0,24.553,9022.559
2025-10-17 02:07:46,3000,1391,0,8506.967,2052.531,695.5,5,3477.5,0,0,27.331,6975.529
2025-10-17 02:07:48,3000,1088,0,6179.051,2018.002,544,5,2720,0,0,7.037,5220.126
2025-10-17 02:07:50,3000,1123,0,4767.716,1611.17,561.5,5,2807.5,0,0,5.108,5157.095
2025-10-17 02:07:52,3000,1855,0,4915.514,1156.379,927.5,5,4637.5,0,0,3.418,4225.418
2025-10-17 02:07:54,3000,752,0,3556.695,926.093,376,5,1880,0,0,5.378,4466.057
2025-10-17 02:07:56,3000,1366,0,5131.365,855.26,683,5,3415,0,0,4.863,4544.241
2025-10-17 02:07:58,3000,1040,0,5886.814,846.727,520,5,2600,0,0,2.739,4691.959
2025-10-17 02:08:00,3000,704,0,5517.592,949.535,352,5,1760,0,0,2.447,6504.349
2025-10-17 02:08:02,3000,1924,0,5338.993,1080.078,962,5,4810,0,0,2.631,5062.16
2025-10-17 02:08:04,3000,802,0,5104.451,1296.602,401,5,2005,0,0,2.297,3738.281
2025-10-17 02:08:06,3000,1037,0,4855.078,704.954,518.5,5,2592.5,0,0,1.781,5050.986
2025-10-17 02:08:08,3000,2408,0,4505.701,1161.856,1204,5,6020,0,0,2.402,4216.421
